# Multi-character words for 多音字 disambiguation
# Format: word<TAB>bopomofo
# Lines starting with # are comments

銀行	ㄧㄣˊ ㄏㄤˊ
行為	ㄒㄧㄥˊ ㄨㄟˊ
行人	ㄒㄧㄥˊ ㄖㄣˊ
行走	ㄒㄧㄥˊ ㄗㄡˇ
行動	ㄒㄧㄥˊ ㄉㄨㄥˋ
行程	ㄒㄧㄥˊ ㄔㄥˊ
行李	ㄒㄧㄥˊ ㄌㄧˇ
行星	ㄒㄧㄥˊ ㄒㄧㄥ
執行	ㄓˊ ㄒㄧㄥˊ
進行	ㄐㄧㄣˋ ㄒㄧㄥˊ
流行	ㄌㄧㄡˊ ㄒㄧㄥˊ
旅行	ㄌㄩˇ ㄒㄧㄥˊ
飛行	ㄈㄟ ㄒㄧㄥˊ
行業	ㄏㄤˊ ㄧㄝˋ
行列	ㄏㄤˊ ㄌㄧㄝˋ
行號	ㄏㄤˊ ㄏㄠˋ
長大	ㄓㄤˇ ㄉㄚˋ
長輩	ㄓㄤˇ ㄅㄟˋ
長官	ㄓㄤˇ ㄍㄨㄢ
成長	ㄔㄥˊ ㄓㄤˇ
生長	ㄕㄥ ㄓㄤˇ
長度	ㄔㄤˊ ㄉㄨˋ
長期	ㄔㄤˊ ㄑㄧˊ
長久	ㄔㄤˊ ㄐㄧㄡˇ
長短	ㄔㄤˊ ㄉㄨㄢˇ
長城	ㄔㄤˊ ㄔㄥˊ
快樂	ㄎㄨㄞˋ ㄌㄜˋ
音樂	ㄧㄣ ㄩㄝˋ
樂器	ㄩㄝˋ ㄑㄧˋ
樂曲	ㄩㄝˋ ㄑㄩˇ
樂團	ㄩㄝˋ ㄊㄨㄢˊ
歡樂	ㄏㄨㄢ ㄌㄜˋ
娛樂	ㄩˊ ㄌㄜˋ
樂趣	ㄌㄜˋ ㄑㄩˋ
了解	ㄌㄧㄠˇ ㄐㄧㄝˇ
明了	ㄇㄧㄥˊ ㄌㄧㄠˇ
得到	ㄉㄜˊ ㄉㄠˋ
獲得	ㄏㄨㄛˋ ㄉㄜˊ
取得	ㄑㄩˇ ㄉㄜˊ
覺得	ㄐㄩㄝˊ ㄉㄜˊ
記得	ㄐㄧˋ ㄉㄜˊ
懂得	ㄉㄨㄥˇ ㄉㄜˊ
值得	ㄓˊ ㄉㄜˊ
顯得	ㄒㄧㄢˇ ㄉㄜˊ
數學	ㄕㄨˋ ㄒㄩㄝˊ
數字	ㄕㄨˋ ㄗˋ
數量	ㄕㄨˋ ㄌㄧㄤˋ
數據	ㄕㄨˋ ㄐㄩˋ
數目	ㄕㄨˋ ㄇㄨˋ
少數	ㄕㄠˇ ㄕㄨˋ
多數	ㄉㄨㄛ ㄕㄨˋ
無數	ㄨˊ ㄕㄨˋ
數數	ㄕㄨˇ ㄕㄨˋ
教室	ㄐㄧㄠˋ ㄕˋ
教育	ㄐㄧㄠˋ ㄩˋ
教師	ㄐㄧㄠˋ ㄕ
教學	ㄐㄧㄠˋ ㄒㄩㄝˊ
教授	ㄐㄧㄠˋ ㄕㄡˋ
教練	ㄐㄧㄠˋ ㄌㄧㄢˋ
教導	ㄐㄧㄠˋ ㄉㄠˇ
教書	ㄐㄧㄠ ㄕㄨ
宗教	ㄗㄨㄥ ㄐㄧㄠˋ
重要	ㄓㄨㄥˋ ㄧㄠˋ
重點	ㄓㄨㄥˋ ㄉㄧㄢˇ
重視	ㄓㄨㄥˋ ㄕˋ
重量	ㄓㄨㄥˋ ㄌㄧㄤˋ
嚴重	ㄧㄢˊ ㄓㄨㄥˋ
重新	ㄔㄨㄥˊ ㄒㄧㄣ
重複	ㄔㄨㄥˊ ㄈㄨˋ
重來	ㄔㄨㄥˊ ㄌㄞˊ
還是	ㄏㄞˊ ㄕˋ
還有	ㄏㄞˊ ㄧㄡˇ
還要	ㄏㄞˊ ㄧㄠˋ
還好	ㄏㄞˊ ㄏㄠˇ
還沒	ㄏㄞˊ ㄇㄟˊ
歸還	ㄍㄨㄟ ㄏㄨㄢˊ
償還	ㄔㄤˊ ㄏㄨㄢˊ
還原	ㄏㄨㄢˊ ㄩㄢˊ
種類	ㄓㄨㄥˇ ㄌㄟˋ
種子	ㄓㄨㄥˇ ㄗˇ
種族	ㄓㄨㄥˇ ㄗㄨˊ
各種	ㄍㄜˋ ㄓㄨㄥˇ
品種	ㄆㄧㄣˇ ㄓㄨㄥˇ
種田	ㄓㄨㄥˋ ㄊㄧㄢˊ
種植	ㄓㄨㄥˋ ㄓˊ
種花	ㄓㄨㄥˋ ㄏㄨㄚ
因為	ㄧㄣ ㄨㄟˋ
成為	ㄔㄥˊ ㄨㄟˊ
作為	ㄗㄨㄛˋ ㄨㄟˊ
認為	ㄖㄣˋ ㄨㄟˊ
以為	ㄧˇ ㄨㄟˊ
為了	ㄨㄟˋ ㄌㄜ˙
為何	ㄨㄟˋ ㄏㄜˊ
為什麼	ㄨㄟˋ ㄕㄜˊ ㄇㄜ˙
地方	ㄉㄧˋ ㄈㄤ
地點	ㄉㄧˋ ㄉㄧㄢˇ
地區	ㄉㄧˋ ㄑㄩ
地球	ㄉㄧˋ ㄑㄧㄡˊ
地圖	ㄉㄧˋ ㄊㄨˊ
土地	ㄊㄨˇ ㄉㄧˋ
省錢	ㄕㄥˇ ㄑㄧㄢˊ
省時	ㄕㄥˇ ㄕˊ
省力	ㄕㄥˇ ㄌㄧˋ
節省	ㄐㄧㄝˊ ㄕㄥˇ
省份	ㄕㄥˇ ㄈㄣˋ
反省	ㄈㄢˇ ㄒㄧㄥˇ
省思	ㄒㄧㄥˇ ㄙ
